GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
4070161,226,14,3650000,0,5,1
99945300,9546,20,145000000,1,21,1
11162667,24410,13,10666667,1,3,1
,275,25,11000000,0,14,1
22264130,575,20,28750000,0,15,1
36011250,800,15,53350000,1,16,1
76500000,1700,20,85000000,1,20,1
10530000,1515,15,10000000,1,6,1
35544375,1914,18,27500000,1,8,1
18149599,390,13,20200000,0,7,1
45956250,913,25,36500000,1,19,1
40500000,900,15,60000000,1,13,1
58125000,930,15,62000000,1,7,1
22837500,508,25,20300000,0,15,1
10620000,236,20,11800000,0,20,1
14850000,330,20,16500000,0,14,1
4620000,223,11,6000000,0,7,1
13905000,309,15,20600000,0,3,1
63000000,1400,20,70000000,1,12,1
10867500,443,15,14000000,0,6,1
3948750,88,15,5850000,0,13,1
74430000,1460,20,73000000,1,26,1
2302300,108,11,2950000,0,3,1
6892741,140,25,5600000,0,13,1
3896556,233,10,5566508,0,3,1
16065975,257,12,20000000,0,7,1
3018750,480,12,3750000,1,3,1
4760000,165,10,6800000,1,3,1
3003750,124,15,3900000,0,5,1
15019405,475,20,23750000,0,15,1
598500,60,3,2850000,0,2,1
1680000,72,7,3000000,0,2,1
70875000,1575,15,105000000,1,15,1
94837500,2108,15,140500000,1,16,1
8167500,182,15,12100000,0,10,1
1707750,71,15,2200000,0,6,1
16380000,335,20,16750000,0,17,1
5848395,494,20,4000000,0,6,1
38250000,800,20,40000000,1,16,1
37279701,6763,18,33000000,1,11,1
21850000,666,19,20000000,0,24,1
3038000,126,7,6200000,1,4,1
23225400,2005,34,8800000,1,9,1
13725000,305,20,15250000,0,8,1
28215000,627,15,41800000,0,15,1
5985000,81,15,4200000,0,4,1
7425000,163,15,11000000,0,3,1
19125000,375,20,18750000,0,13,1
2918184,688,8,9000000,0,3,1
15750000,600,18,11500000,0,7,1
9024649,234,13,9250000,0,4,1
39375000,875,20,43750000,1,10,1
20602766,438,17,18750000,0,13,1
17400679,357,21,11085000,0,8,1
94964203,2000,20,100000000,1,18,1
6161155,446,14,10000000,0,5,1
7392000,106,11,9600000,0,4,1
2551758,118,6,5500000,1,4,1
11787186,190,20,12201371,0,1,1
392376,320,11,5006495,0,2,1
760854,320,11,13454545,0,2,1
5476185,367,11,6660000,0,5,1
7848750,459,13,7500000,0,4,1
12187500,384,15,12500000,0,6,1
12549646,1600,25,19838300,1,5,1
1400000,1226,5,4000000,1,3,1
7000000,530,12,10000000,0,4,1
8004767,10936,8,13500000,0,4,1
19082675,1582,12,25000000,1,11,1
2415000,120,6,5000000,1,4,1
19658100,1631,19,20000000,1,4,1
2093000,406,13,4600000,1,2,2
50302500,3758,15,70600000,1,9,2
5985000,323,19,4500000,1,5,2
9843750,141,15,9375000,0,4,2
23161826,658,7,57189693,0,5,2
15906800,113,14,17480000,0,10,2
12075000,162,20,7500000,0,6,2
12000000,172,12,14285714,0,4,2
1932000,3461,8,3000000,1,2,2
2552817,186,8,4500000,1,3,2
5175000,86,15,5000000,0,7,2
4830504,201,8,8000000,0,3,2
5278000,309,13,5800000,0,5,2
23319791,356,13,28333333,0,6,2
10129919,409,12,11000000,0,5,2
36346590,600,21,28570000,0,9,2
11314945,1005,18,10000000,1,7,2
2898000,161,6,6000000,1,4,2
3980564,149,14,3532000,1,3,2
33750000,750,20,37500000,0,9,2
28980000,450,10,36000000,0,1,2
30420000,676,20,33800000,0,17,2
21000000,765,20,15000000,1,8,2
17745000,235,10,26000000,0,5,2
